"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/Ex2_P2_Idades/J/ExIdades_J.java","4","3","All classes and interfaces must belong to a named package","Code Style","GenericsNaming"
"2","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/Ex2_P2_Idades/J/ExIdades_J.java","3","3","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"3","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/Ex2_P2_Idades/J/ExIdades_J.java","4","10","Use one line for each declaration, it enhances code readability.","Code Style","GenericsNaming"
"4","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/Ex2_P2_Idades/J/ExIdades_J.java","4","12","This statement should have braces","Code Style","GenericsNaming"
"5","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/Ex2_P2_Idades/J/ExIdades_J.java","4","18","This statement should have braces","Code Style","GenericsNaming"
