"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","FICHA8","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/Ex1_P1_Numeros/Aluno54/Ex1.java","3","1","Package name contains upper case characters","Code Style","PackageCase"
"2","FICHA8","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/Ex1_P1_Numeros/Aluno54/Ex1.java","3","5","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"3","FICHA8","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/Ex1_P1_Numeros/Aluno54/Ex1.java","3","36","This statement should have braces","Code Style","ControlStatementBraces"
