"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/Ex2_P2_Idades/A/ExIdades_A.java","4","1","Avoid unused imports such as 'java.lang.System.out'","Best Practices","UnusedImports"
"2","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/Ex2_P2_Idades/A/ExIdades_A.java","4","2","Avoid unused imports such as 'java.lang.System.err'","Best Practices","UnusedImports"
"3","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/Ex2_P2_Idades/A/ExIdades_A.java","4","5","All classes and interfaces must belong to a named package","Code Style","GenericsNaming"
"4","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/Ex2_P2_Idades/A/ExIdades_A.java","3","5","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"5","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/Ex2_P2_Idades/A/ExIdades_A.java","1","5","The class name 'p2' doesn't match '[A-Z][a-zA-Z0-9]*'","Code Style","ClassNamingConventions"
"6","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/Ex2_P2_Idades/A/ExIdades_A.java","4","7","Use one line for each declaration, it enhances code readability.","Code Style","GenericsNaming"
"7","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/Ex2_P2_Idades/A/ExIdades_A.java","4","25","This statement should have braces","Code Style","GenericsNaming"
