"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/Ex2_P2_Idades/Aluno68/Exercicio2.java","4","3","All classes and interfaces must belong to a named package","Code Style","GenericsNaming"
"2","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/Ex2_P2_Idades/Aluno68/Exercicio2.java","3","3","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"3","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/Ex2_P2_Idades/Aluno68/Exercicio2.java","4","6","Use one line for each declaration, it enhances code readability.","Code Style","GenericsNaming"
"4","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/Ex2_P2_Idades/Aluno68/Exercicio2.java","4","18","This statement should have braces","Code Style","GenericsNaming"
"5","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/Ex2_P2_Idades/Aluno68/Exercicio2.java","3","20","Avoid unused local variables such as 'trash'.","Best Practices","UnusedLocalVariable"
"6","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/Ex2_P2_Idades/Aluno68/Exercicio2.java","4","26","This statement should have braces","Code Style","GenericsNaming"
