"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/Ex4_S1_Cadeia/M/Cadeia_M.java","3","5","All classes and interfaces must belong to a named package","Code Style","NoPackage"
"2","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/Ex4_S1_Cadeia/M/Cadeia_M.java","3","5","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"3","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/Ex4_S1_Cadeia/M/Cadeia_M.java","4","15","Use one line for each declaration, it enhances code readability.","Best Practices","OneDeclarationPerLine"
